country,iso2c,iso3c,year,inflation,gdp_growth,gdp_per_capita
Chile,CL,CHL,1982,9.94102693041832,-11.5020620535762,4244.09899383271
Chile,CL,CHL,1983,27.2571946726204,-4.9352297090374,3975.62230556306
Chile,CL,CHL,1984,19.8602056602626,3.98371018713553,4072.50464907353
Chile,CL,CHL,1985,30.7034989096151,3.55239860775048,4153.37019930025
Chile,CL,CHL,1986,19.4768379232582,5.40556438635799,4310.54362901388
Chile,CL,CHL,1987,19.8808457201905,6.73884253090458,4528.6333769652
Chile,CL,CHL,1988,14.684351250082,7.35081069623416,4783.26035220905
Chile,CL,CHL,1989,17.0279367308962,10.3583568690228,5192.61380044824
Chile,CL,CHL,1990,26.0364811362364,3.59872304691744,5290.53694835535
Chile,CL,CHL,1991,21.7844124277757,7.75620189312957,5606.86557277047
Chile,CL,CHL,1992,15.4258064688928,11.5019314370192,6151.76546454326
Chile,CL,CHL,1993,12.7277669490964,6.6855844008042,6461.73217350303
Chile,CL,CHL,1994,11.4431196444973,5.07680374667352,6688.29717704707
Chile,CL,CHL,1995,8.23263034116114,9.25542757753573,7201.13100361441
Chile,CL,CHL,1996,7.35911781788767,7.1148626270751,7605.28953010603
Chile,CL,CHL,1997,6.13386464357927,7.3917392684331,8058.94228801535
Chile,CL,CHL,1998,5.11024954517559,4.18088662700669,8287.45061096547
Chile,CL,CHL,1999,3.33687917526023,-0.2736313981937,8161.45168872186
Chile,CL,CHL,2000,3.84327295706565,4.9716214882971,8465.35303258864
Chile,CL,CHL,2001,3.56910053001467,3.15403492459967,8632.0148244056
Chile,CL,CHL,2002,2.48939816650705,3.20279913520113,8810.69052712257
Chile,CL,CHL,2003,2.8101787574361,4.72324526861041,9130.7842621819
Chile,CL,CHL,2004,1.05473871403517,6.67425416822923,9642.37478651228
Chile,CL,CHL,2005,3.05257621387849,5.83704571917758,10104.4208391373
Chile,CL,CHL,2006,3.39201733699405,6.04999082563968,10611.6144012877
Chile,CL,CHL,2007,4.40779938398044,5.16823098528431,11051.3450717678
Chile,CL,CHL,2008,8.71626873039607,3.78939280635238,11356.0922105983
Chile,CL,CHL,2009,0.353045178360937,-1.11803723642878,11116.4093443103
Chile,CL,CHL,2010,1.41071107954321,5.85165102224047,11649.2897090856
Chile,CL,CHL,2011,3.34121694259302,6.22389678509138,12252.8441074615
Chile,CL,CHL,2012,3.00744840213047,6.15534001855494,12882.834417927
Chile,CL,CHL,2013,1.7895555398459,3.30850824710085,13182.7329619856
Chile,CL,CHL,2014,4.71867527854672,1.79264947139259,13285.9540361192
Chile,CL,CHL,2015,4.34877353217044,2.15194249981184,13433.9202987032
Chile,CL,CHL,2016,3.78619355893118,1.753038749071,13505.097711133
Chile,CL,CHL,2017,2.18271846868519,1.35769537343957,13473.3458532934
Chile,CL,CHL,2018,2.43488981353057,3.99002947789977,13763.0068844795
Chile,CL,CHL,2019,2.55754475703327,0.644223402631923,13631.9284885172
Chile,CL,CHL,2020,3.04549084804326,-6.1396969411886,12680.7761524378
Chile,CL,CHL,2021,4.52456838259144,11.3374032409913,14056.251601955
Chile,CL,CHL,2022,11.643866711056,2.06391864254198,14275.4094646211
Chile,CL,CHL,2023,7.58168251407962,0.677024831595858,14294.7106635595
Chile,CL,CHL,2024,4.29763891572524,2.80512637106611,14616.9287938028
Colombia,CO,COL,1980,26.5526531495356,4.08735367550767,3300.51170195765
Colombia,CO,COL,1981,27.4537624347993,2.27687274512178,3298.73218883264
Colombia,CO,COL,1982,24.7209882528585,0.948420786604515,3253.88046917188
Colombia,CO,COL,1983,19.5973170624765,1.57395603843689,3228.35593102948
Colombia,CO,COL,1984,16.1616171361426,3.35068373940706,3260.28459182748
Colombia,CO,COL,1985,24.090174368125,3.1071061957296,3289.71209715409
Colombia,CO,COL,1986,18.8424631612406,5.82407613745866,3410.15965281641
Colombia,CO,COL,1987,23.302028364018,5.36893214821323,3520.16261987219
Colombia,CO,COL,1988,28.1083969771704,4.06417324490376,3588.96963573165
Colombia,CO,COL,1989,25.8675480831988,3.41409610966596,3636.07569199887
Colombia,CO,COL,1990,29.1520245976215,4.28199833053058,3714.1849928328
Colombia,CO,COL,1991,30.3878204854436,2.00160759559029,3713.17727535576
Colombia,CO,COL,1992,27.0106266231361,4.04492943933556,3787.5942918216
Colombia,CO,COL,1993,22.4424828533275,5.38540993901029,3912.6590835796
Colombia,CO,COL,1994,22.8462417553045,5.81466190724336,4059.32146113882
Colombia,CO,COL,1995,20.8917930194849,5.20243759278655,4189.72770913999
Colombia,CO,COL,1996,20.7975755127402,2.05585471287195,4198.69126252708
Colombia,CO,COL,1997,18.4700217119089,3.43029367788374,4265.6935185646
Colombia,CO,COL,1998,18.6769799276672,0.569784088434517,4213.82800470051
Colombia,CO,COL,1999,10.8736870857471,-4.20401524244947,3967.11339937681
Colombia,CO,COL,2000,9.22534818585366,2.92486148176778,4016.80951748167
Colombia,CO,COL,2001,7.96556090304834,1.67789830787579,4020.50789754842
Colombia,CO,COL,2002,6.35150728778872,2.50398046659659,4058.28493578738
Colombia,CO,COL,2003,7.1297886294186,3.91827190322513,4154.17528523618
Colombia,CO,COL,2004,5.90402005546502,5.33302206759905,4311.91591255233
Colombia,CO,COL,2005,5.05101962689696,4.82876110773741,4457.27537460443
Colombia,CO,COL,2006,4.29342363628927,6.71686869844402,4694.03442939175
Colombia,CO,COL,2007,5.54438485815156,6.73819469090975,4947.25260813108
Colombia,CO,COL,2008,6.99688495554511,3.28344618616541,5048.57187245249
Colombia,CO,COL,2009,4.20251661216482,1.13964864548062,5046.97121757727
Colombia,CO,COL,2010,2.27200227892008,4.49465897070922,5214.24547620131
Colombia,CO,COL,2011,3.4150334477625,6.94789198173555,5517.1011086899
Colombia,CO,COL,2012,3.16930188840055,3.91263576716115,5675.75617978305
Colombia,CO,COL,2013,2.01699224310383,5.13399351995672,5910.80592301166
Colombia,CO,COL,2014,2.89883787761738,4.49903000110972,6121.83982019825
Colombia,CO,COL,2015,4.9898311584953,2.95590137527523,6248.51490534512
Colombia,CO,COL,2016,7.51346024627675,2.08738250162794,6316.07067782542
Colombia,CO,COL,2017,4.31431325695011,1.35936086788746,6309.67745292518
Colombia,CO,COL,2018,3.24056932930569,2.56432428277704,6353.5464285392
Colombia,CO,COL,2019,3.52301932741447,3.18685539245533,6439.96359812647
Colombia,CO,COL,2020,2.52663500084706,-7.18591413760859,5891.9552321540305
Colombia,CO,COL,2021,3.49505757399448,10.8011981904878,6457.16921807086
Colombia,CO,COL,2022,10.1772313546166,7.32827729427979,6856.72590505374
Colombia,CO,COL,2023,11.7359044948689,0.841819555752039,6837.37392084534
Colombia,CO,COL,2024,6.60908593728228,1.49330728771066,6865.31283944628
Mexico,MX,MEX,1980,26.3516513562834,8.75662242586424,8290.28898920873
Mexico,MX,MEX,1981,27.9337625982399,9.58584115454994,8875.07151181967
Mexico,MX,MEX,1982,58.9134198531048,-0.0495863656386035,8676.57130964166
Mexico,MX,MEX,1983,101.874938435992,-4.62412795987231,8098.51642167462
Mexico,MX,MEX,1984,65.4488071277602,3.51341334932273,8207.92337530335
Mexico,MX,MEX,1985,57.7484484008702,1.91921578613494,8194.16249381362
Mexico,MX,MEX,1986,86.2333169923538,-3.92995990782299,7713.61215359658
Mexico,MX,MEX,1987,131.82738392309,2.06336322631584,7716.49731730638
Mexico,MX,MEX,1988,114.162258549066,1.21826122938586,7657.72747539452
Mexico,MX,MEX,1989,20.0078767139978,3.62544873456009,7783.80581006403
Mexico,MX,MEX,1990,26.6516725646771,5.25004329944582,8036.86114405886
Mexico,MX,MEX,1991,22.662359455061,3.97590497138043,8197.01179488111
Mexico,MX,MEX,1992,15.5078962533573,3.56861354412243,8330.26426795593
Mexico,MX,MEX,1993,9.75146045357553,2.86699945461075,8411.79621331335
Mexico,MX,MEX,1994,6.96581237191123,4.39412788764169,8623.48043000831
Mexico,MX,MEX,1995,34.9992712889592,-5.91029962358286,7970.64038489585
Mexico,MX,MEX,1996,34.3783832235168,6.21829715869302,8320.65295687947
Mexico,MX,MEX,1997,20.6256287259247,7.19887615284711,8770.8448154628
Mexico,MX,MEX,1998,15.9283950119353,6.18507893082885,9161.89527775798
Mexico,MX,MEX,1999,16.5856169707538,2.75503039300564,9264.977292523
Mexico,MX,MEX,2000,9.49156149435403,5.02928399378261,9581.96970202823
Mexico,MX,MEX,2001,6.36773806235037,-0.450845253215945,9398.35074347946
Mexico,MX,MEX,2002,5.03072733151295,-0.236588001922641,9242.27886122367
Mexico,MX,MEX,2003,4.54690012118718,1.18554486709559,9221.99666685464
Mexico,MX,MEX,2004,4.68840884843143,3.56544102622887,9421.28976132695
Mexico,MX,MEX,2005,3.98805714597437,2.11324711473297,9491.51730268004
Mexico,MX,MEX,2006,3.62946762439132,4.80501351664901,9813.82804186659
Mexico,MX,MEX,2007,3.96684905458235,2.0778639395329,9877.69532636562
Mexico,MX,MEX,2008,5.12498274575896,0.943331872912935,9826.34218448486
Mexico,MX,MEX,2009,5.29735584228856,-6.29525056697287,9074.11881448129
Mexico,MX,MEX,2010,4.15672722680174,4.9713345832195,9389.06722076504
Mexico,MX,MEX,2011,3.40737824605742,3.44404505297089,9575.93437734618
Mexico,MX,MEX,2012,4.11150981070289,3.55321076010608,9782.51776251839
Mexico,MX,MEX,2013,3.80639069747204,0.852101550164704,9738.71059661101
Mexico,MX,MEX,2014,4.01861608078679,2.50376350783593,9862.4812534745
Mexico,MX,MEX,2015,2.72064064964023,2.70232343024026,10021.2386113616
Mexico,MX,MEX,2016,2.8217078474766,1.7724932254128,10100.5021195819
Mexico,MX,MEX,2017,6.04145724018986,1.87172854648381,10193.7727188313
Mexico,MX,MEX,2018,4.89935015356551,1.97208211101069,10296.8690940459
Mexico,MX,MEX,2019,3.63596142127046,-0.392690513290532,10159.4448367696
Mexico,MX,MEX,2020,3.39683415570006,-8.35403459379062,9234.64362226594
Mexico,MX,MEX,2021,5.68920847683753,6.04848347173572,9728.05680024504
Mexico,MX,MEX,2022,7.8962761916855,3.70975708309098,10013.2479227064
Mexico,MX,MEX,2023,5.52796087314389,3.1067964131456,10234.6840265651
Mexico,MX,MEX,2024,4.72225588452932,1.35057631384696,10284.0336925726
Peru,PE,PER,1980,59.1450712444914,5.94333539830841,3797.43621611508
Peru,PE,PER,1981,75.4332687576064,5.55204181484046,3909.66676934412
Peru,PE,PER,1982,64.4481585387929,-0.2227234441863,3805.24470888803
Peru,PE,PER,1983,111.150635209157,-10.408085798297,3325.45532400634
Peru,PE,PER,1984,110.208519562543,3.60828653816966,3361.21738023781
Peru,PE,PER,1985,163.399505243688,2.06113206625895,3347.82743034644
Peru,PE,PER,1986,77.9210255473595,9.42596236073652,3578.0009133316
Peru,PE,PER,1987,85.8223062381846,9.72614643050372,3837.26769850321
Peru,PE,PER,1988,667.019328585961,-9.44127344629392,3397.01630742059
Peru,PE,PER,1989,3398.67901005332,-12.3120414471296,2912.6643430804
Peru,PE,PER,1990,7481.66361124526,-4.98256353646605,2706.92253156841
Peru,PE,PER,1991,409.530166622023,2.2192591027909,2709.27754515647
Peru,PE,PER,1992,73.5282942442641,-0.540509124723926,2640.31373880219
Peru,PE,PER,1993,48.5799864468885,5.24357700773291,2723.2842310292
Peru,PE,PER,1994,23.7369050565046,12.3083661848445,2998.57693125514
Peru,PE,PER,1995,11.1287029707089,7.41139504735119,3158.98338644792
Peru,PE,PER,1996,11.5379424115177,2.79897307912609,3186.90077024092
Peru,PE,PER,1997,8.56218948953653,6.47682442079709,3331.15151093297
Peru,PE,PER,1998,7.24782175213469,-0.391537555833821,3258.29746206218
Peru,PE,PER,1999,3.46965996293019,1.49491064308833,3250.37802318947
Peru,PE,PER,2000,3.75733833344474,2.69437139806912,3286.27308475523
Peru,PE,PER,2001,1.97709878502053,0.617892325624297,3261.6642505136
Peru,PE,PER,2002,0.193135003853722,5.45352893818767,3398.74991419297
Peru,PE,PER,2003,2.25937753363072,4.16502313666112,3502.79165687646
Peru,PE,PER,2004,3.66247320092233,4.95820320611745,3640.60299869744
Peru,PE,PER,2005,1.61630193862544,6.28506032509601,3835.13219279722
Peru,PE,PER,2006,2.00225801248819,7.5288990440594,4091.36268615581
Peru,PE,PER,2007,1.77998644680372,8.5183877690955,4407.79121686416
Peru,PE,PER,2008,5.78587598206755,9.1265683014642,4778.52642172313
Peru,PE,PER,2009,2.936231535967,1.0958236592427,4801.17153740507
Peru,PE,PER,2010,1.52832059732901,8.33245910749577,5167.39259325937
Peru,PE,PER,2011,3.36931095333853,6.32719240161117,5453.45718713631
Peru,PE,PER,2012,3.61121294940163,6.13972470560435,5740.04346272472
Peru,PE,PER,2013,2.76789666082002,5.85251821084928,6021.46142765232
Peru,PE,PER,2014,3.41194579807465,2.38215737180541,6103.91864749969
Peru,PE,PER,2015,3.39809194746308,3.25224477218451,6231.71150338894
Peru,PE,PER,2016,3.55717663556279,3.95331871520767,6392.25474941014
Peru,PE,PER,2017,2.99490045809443,2.51883544233135,6457.41940254721
Peru,PE,PER,2018,1.50915423024742,3.969351341365,6593.14437459526
Peru,PE,PER,2019,2.25212191358027,2.24063176875049,6626.26083494969
Peru,PE,PER,2020,2.00241205759292,-10.9333065010382,5831.83024758521
Peru,PE,PER,2021,4.27166381536798,13.4166456126513,6550.96747543872
Peru,PE,PER,2022,8.33370630096231,2.81819976419922,6671.28902042137
Peru,PE,PER,2023,6.45561348369586,-0.350699814345759,6575.18295502228
Peru,PE,PER,2024,2.00770739412712,3.5152749274832,6732.27773809578
